www.cetc.com.cn               	218.88.13.15, 218.88.13.9
en.cetc.com.cn                	218.88.13.12, 218.88.13.9
mail.cetc.com.cn              	117.177.222.202
mobile.cetc.com.cn            	106.38.47.173
11.cetc.com.cn                	218.88.13.10, 218.88.13.15
10.cetc.com.cn                	218.88.13.12, 218.88.13.16
9.cetc.com.cn                 	218.88.13.16, 218.88.13.9
isa.cetc.com.cn               	218.88.13.12, 218.88.13.16
im.cetc.com.cn                	106.38.47.173
13.cetc.com.cn                	218.88.13.11, 218.88.13.8
15.cetc.com.cn                	218.88.13.13, 218.88.13.8
14.cetc.com.cn                	218.88.13.8, 218.88.13.9
20.cetc.com.cn                	218.88.13.11, 218.88.13.8
8.cetc.com.cn                 	218.88.13.15, 218.88.13.8
18.cetc.com.cn                	218.88.13.10, 218.88.13.13
16.cetc.com.cn                	218.88.13.12, 218.88.13.15
oa.cetc.com.cn                	106.38.57.104
send.cetc.com.cn              	211.157.122.205
get.cetc.com.cn               	211.157.122.205
mdm.cetc.com.cn               	106.38.57.70
exam.cetc.com.cn              	36.110.89.87
mailgate.cetc.com.cn          	117.177.222.204
3.cetc.com.cn                 	218.88.13.10, 218.88.13.12
12.cetc.com.cn                	218.88.13.11, 218.88.13.12
iam.cetc.com.cn               	106.38.57.73
moa.cetc.com.cn               	106.38.47.187
22.cetc.com.cn                	218.88.13.12, 218.88.13.9
21.cetc.com.cn                	218.88.13.10, 218.88.13.8
51.cetc.com.cn                	218.88.13.11, 218.88.13.8
en.18.cetc.com.cn             	218.88.13.16, 218.88.13.9
